@relation user_cluster

@attribute UID numeric
@attribute DIFF numeric

@data
841775424,2736.66377315
1308957726,1992.94634259
44000571,604.114594907
710880150,845.384625772
716625758,-79.8947685185
100001741526248,1932.49418981
679779389,1097.97432134
739312227,1420.83135127
100000998497614,-540.16400463
504999043,-16.3645949074
1453097327,-198.260387731
1375731330,-608.939178241
1082061363,400.960486111
709291600,2053.18166667
575209953,2211.42241898
746738285,431.133709491
573536973,1568.16498843
611108522,112.023090278
1335840037,49.0884374999
100001247957272,1778.30858796
1218014809,638.836782407
731638541,62.7394251543
725343629,2310.16766204
667528226,939.670515046
505265491,2266.2303588
100000689870864,555.46074537
100001704513605,2265.17537037
1368510312,-734.975949074
100000121074000,1492.14077546
640660199,388.503258102
1035317598,1.72393518523
695413044,1263.4702662
1010836682,168.754525463
1020501009,1161.894384
534887260,1878.28542824
100000654632693,2024.05380787
1017642489,15.4589120371
614257080,118.606626157
679975003,336.670416667
551705228,638.842226852
767798381,2193.6415625
703005604,251.780509259
715468979,481.223865741
1320488867,1048.95628472
1371300417,1142.32897073
1256308756,1386.58711034
1426548528,2068.06702546
544708935,966.06762037
653452704,89.8345601852
1181310107,1307.16621238
1194721796,-201.914502315
531012894,-516.947550154
559233349,381.199077932
1135480793,413.396990741
1064280258,-10.8854513889
520159764,1882.0905787
1341660324,52.908449074
1193583394,2188.1453125
1473920777,217.043715278
708394349,-268.758125
542982402,2432.29615741
1347445016,1104.42599151
1677653137,266.715511574
100002742650563,234.998738426
1427021188,2356.17310764
1474986492,8.2977893519
1332000329,456.647789352
1524032615,-665.184375
1368210168,666.369606482
706679922,1249.57312384
519670362,2024.33729167
651008482,194.939328704
1202448248,102.38981713
727600182,1763.75307485
650952948,2132.34923032
714423075,2049.97054398
1099527705,790.106284722
1332960225,1270.76796296
889515463,694.2820625
1419662023,724.776967593
690753813,389.657225116
767582027,1274.26706163
542204523,332.203541667
5522981,152.5591875
700480562,1579.63928472
1114290348,1275.73340741
1038819686,272.87646412
629685650,1890.98496914
906275034,545.8325
100000187939693,299.339788773
526266452,1506.38548611
705890466,1597.41336034
1072184909,2202.12115741
800969560,1360.84784028
1362936001,-286.693304398
700281077,-379.812204861
753914804,-265.213489583
100003659016777,2325.68033565
591699789,1212.44467708
100001809589428,1162.14980179
726332749,26.20125
1356060108,1703.77287037
694400424,-1321.84503472
582794212,107.748425926
560163905,1341.27985269
100001825944161,2241.59461806
612606580,2048.54063657
100001041194630,1471.97400463
100000289331036,2751.58409722
100001051334912,-167.378078704
670372573,1595.42035108
1244370279,-20.7513773148
1194720886,-702.030075231
1213296750,875.032256944
1192620956,-227.182164352
554762717,-576.091909722
1722731483,536.013009259
100001217854180,2308.77374421
1246980336,1249.15891204
618572687,-443.450671296
563343379,182.038944444
696350526,892.992627315
708698314,423.064425926
1387200412,637.850520833
1355050557,-64.746796875
1461231414,-511.595219907
1362330365,554.170523727
551983522,-95.8230295139
1442540299,2241.5381713
715410428,273.227233796
744926671,1136.0091821
1255164538,2312.6756713
1367944179,-32.4123611111
1244885991,692.985729167
639734637,-184.656415895
1601395847,1817.50537037
658295186,-152.728825231
1364573574,1992.93774306
826754932,2080.7665625
1374591141,84.2124189815
1493224999,669.410011574
733306910,166.857210648
1235940781,549.349854167
623212330,392.760804398
1674642886,2198.09384259
617092906,788.562947531
799815300,663.715237269
1841264654,888.813726852
100001397920678,-372.153703704
611386663,424.371799769
1368287941,17.9053125
649225562,1472.28680556
548760422,-249.62025463
599343653,1995.06060185
1262190318,1255.44072917
609303884,208.346010802
576546215,945.058917824
673873079,2808.62212963
741052950,449.030395448
525090117,-17.2674652778
1093775359,4.89055886243
665124142,2182.73822917
100000755954285,2047.90532407
1090244642,2484.03598958
520122602,855.096496212
100001097972051,1017.49354473
